Date,Open,High,Low,Close,Volume,Adj Close
2012-08-16,5.06,5.18,5.02,5.13,1857300,5.13
2012-08-17,5.18,5.24,5.12,5.24,1812900,5.24
2012-08-20,5.19,5.21,5.12,5.2,1569000,5.2
2012-08-21,5.34,5.37,5.24,5.25,2909200,5.25
2012-08-22,5.25,5.34,5.23,5.32,3165600,5.32
2012-08-23,5.35,5.38,5.16,5.18,1734200,5.18
2012-08-24,5.23,5.29,5.14,5.16,1983100,5.16
2012-08-27,5.1,5.14,5.01,5.14,2290700,5.14
2012-08-28,5.16,5.22,5.12,5.2,2097900,5.2
2012-08-29,5.17,5.17,5.05,5.07,1589200,5.07
2012-08-30,5.07,5.09,4.96,5.04,1851000,5.04
2012-08-31,5.2,5.26,5.06,5.21,1455700,5.21
2012-09-04,5.24,5.24,5.07,5.11,2045200,5.11
2012-09-05,5.09,5.12,4.99,5.11,2297100,5.11
2012-09-06,5.23,5.34,5.03,5.04,3262800,5.04
2012-09-07,5.1,5.23,4.97,5.21,2039000,5.21
2012-09-10,5.14,5.22,5.12,5.19,685400,5.19
2012-09-11,5.27,5.3,5.24,5.28,653400,5.28
2012-09-12,5.29,5.31,5.23,5.25,886900,5.25
2012-09-13,5.38,5.41,5.22,5.39,3304600,5.39
2012-09-14,5.49,5.58,5.44,5.49,1961500,5.49
2012-09-17,5.49,5.53,5,5.17,3999400,5.17
2012-09-18,5.16,5.21,5.07,5.1,1932200,5.1
2012-09-19,4.95,4.95,4.64,4.7,5299900,4.7
2012-09-20,4.68,4.8,4.66,4.8,2310900,4.8
2012-09-21,4.85,4.86,4.76,4.8,1518700,4.8
2012-09-24,4.68,4.7,4.6,4.69,1390300,4.69
2012-09-25,4.74,4.79,4.59,4.59,1577700,4.59
2012-09-26,4.53,4.53,4.38,4.49,2983800,4.49
2012-09-27,4.59,4.72,4.57,4.69,3244000,4.69
2012-09-28,4.69,4.72,4.63,4.69,1328300,4.69
2012-10-01,4.77,4.81,4.69,4.72,1718200,4.72
2012-10-02,4.74,4.75,4.65,4.65,947800,4.65
2012-10-03,4.55,4.55,4.25,4.28,5937300,4.28
2012-10-04,4.36,4.63,4.34,4.61,3082900,4.61
2012-10-05,4.54,4.55,4.37,4.46,1645200,4.46
2012-10-09,4.48,4.74,4.48,4.67,2992100,4.67
2012-10-10,4.69,4.82,4.56,4.6,2366700,4.6
2012-10-11,4.7,4.75,4.61,4.7,1460600,4.7
2012-10-12,4.68,4.71,4.58,4.64,1511100,4.64
2012-10-15,4.53,4.65,4.44,4.62,2278100,4.62
2012-10-16,4.62,4.67,4.61,4.66,1978000,4.66
2012-10-17,4.68,4.74,4.62,4.66,1457500,4.66
2012-10-18,4.57,4.7,4.53,4.65,1864100,4.65
2012-10-19,4.73,4.75,4.44,4.44,4076700,4.44
2012-10-22,4.45,4.47,4.28,4.33,3951200,4.33
2012-10-23,4.14,4.14,4,4.08,5371800,4.08
2012-10-24,4.07,4.07,3.93,3.99,4200000,3.99
2012-10-25,4.07,4.07,3.95,4.04,2397700,4.04
2012-10-26,4,4.05,3.98,4.02,1364600,4.02
2012-10-29,4.02,4.03,3.9,3.95,2631400,3.95
2012-10-30,3.99,4.03,3.97,3.98,786400,3.98
2012-10-31,4.03,4.12,4.02,4.03,3243600,4.03
2012-11-01,4.05,4.14,4.03,4.11,2375600,4.11
2012-11-02,4.08,4.08,3.9,3.91,3798900,3.91
2012-11-05,3.93,4,3.9,3.99,1723700,3.99
2012-11-06,4.06,4.3,4.02,4.22,5128400,4.22
2012-11-07,4.08,4.08,3.81,3.87,6881000,3.87
2012-11-08,3.89,3.94,3.84,3.91,2215600,3.91
2012-11-09,3.89,4.05,3.89,4,3129600,4
2012-11-12,4,4.03,3.93,3.95,1501500,3.95
2012-11-13,3.89,3.98,3.88,3.92,1249600,3.92
2012-11-14,3.95,4.03,3.91,4,2870200,4
2012-11-15,4.04,4.05,3.87,3.94,3541300,3.94
2012-11-16,4.01,4.06,3.97,4.03,3024100,4.03
2012-11-19,4.17,4.28,4.17,4.23,5706700,4.23
2012-11-20,4.16,4.19,3.96,4.04,2851200,4.04
2012-11-21,4.06,4.09,3.97,4.08,2014400,4.08
2012-11-22,4.06,4.07,4.03,4.06,306000,4.06
2012-11-23,4.07,4.17,4.07,4.12,1799300,4.12
2012-11-26,4.09,4.11,4.05,4.1,1202100,4.1
2012-11-27,4.09,4.1,4.02,4.05,1675700,4.05
2012-11-28,3.92,4,3.88,3.99,3508700,3.99
2012-11-29,4.13,4.17,4.08,4.1,4715800,4.1
2012-11-30,4.15,4.2,4.13,4.19,3373800,4.19
2012-12-03,4.29,4.33,4.19,4.2,3067400,4.2
2012-12-04,4.12,4.19,4.09,4.15,2217700,4.15
2012-12-05,4.15,4.16,4.07,4.09,1997300,4.09
2012-12-06,3.99,4.01,3.9,3.96,6341100,3.96
2012-12-07,3.96,3.98,3.91,3.93,1448300,3.93
2012-12-10,3.94,3.97,3.87,3.9,1822300,3.9
2012-12-11,3.91,3.91,3.86,3.91,2734000,3.91
2012-12-12,3.99,4.06,3.93,3.99,4626700,3.99
2012-12-13,3.95,4,3.91,3.94,3872800,3.94
2012-12-14,3.94,4,3.93,3.99,1196700,3.99
2012-12-17,4,4.06,4,4.05,2739000,4.05
2012-12-18,4.07,4.11,4.02,4.09,3087000,4.09
2012-12-19,4.1,4.26,4.1,4.21,5582900,4.21
2012-12-20,4.2,4.28,4.18,4.22,3244900,4.22
2012-12-21,4.09,4.13,4.05,4.13,3772300,4.13
2012-12-24,4.08,4.1,4.07,4.09,480300,4.09
2012-12-27,4.3,4.34,4.23,4.34,4296100,4.34
2012-12-28,4.33,4.36,4.26,4.31,1880200,4.31
2012-12-31,4.26,4.41,4.26,4.39,1658200,4.39
