Date,Open,High,Low,Close,Volume,Adj Close
2012-04-11,5.04,5.08,4.91,4.96,1232100,4.96
2012-04-12,4.93,4.93,4.8,4.84,1124700,4.84
2012-04-13,4.89,4.94,4.88,4.92,880900,4.92
2012-04-16,4.93,5.02,4.88,4.91,1126600,4.91
2012-04-17,4.76,4.82,4.74,4.8,1561400,4.8
2012-04-18,4.84,4.98,4.82,4.93,2218300,4.93
2012-04-19,4.94,5.03,4.92,4.96,1944900,4.96
2012-04-20,4.83,4.91,4.8,4.85,1597400,4.85
2012-04-23,5,5.06,4.93,4.93,1990600,4.93
2012-04-24,4.86,4.93,4.85,4.9,1175900,4.9
2012-04-25,4.88,4.93,4.8,4.84,2397400,4.84
2012-04-26,4.84,4.84,4.76,4.8,1269700,4.8
2012-04-27,4.81,4.84,4.77,4.78,881600,4.78
2012-04-30,4.82,4.85,4.75,4.77,880000,4.77
2012-05-01,4.78,4.78,4.64,4.67,1458400,4.67
2012-05-02,4.7,4.75,4.68,4.71,1426200,4.71
2012-05-03,4.81,4.98,4.81,4.97,3800000,4.97
2012-05-04,5.2,5.46,5.19,5.36,5843900,5.36
2012-05-07,5.48,5.59,5.41,5.43,1525900,5.43
2012-05-08,5.52,5.69,5.48,5.48,1464300,5.48
2012-05-09,5.67,5.73,5.55,5.59,1200000,5.59
2012-05-10,5.47,5.57,5.46,5.56,652000,5.56
2012-05-11,5.66,5.67,5.52,5.66,1060700,5.66
2012-05-14,5.82,5.89,5.76,5.86,1400000,5.86
2012-05-15,5.81,6,5.75,5.98,1258100,5.98
2012-05-16,6,6.09,5.86,6.05,861000,6.05
2012-05-17,5.95,6.11,5.92,6.07,767400,6.07
2012-05-18,6.1,6.26,6.06,6.26,1500000,6.26
2012-05-22,6.1,6.29,6.07,6.25,1200000,6.25
2012-05-23,6.28,6.54,6.27,6.39,1662700,6.39
2012-05-24,6.31,6.41,6.24,6.33,766100,6.33
2012-05-25,6.33,6.35,6.29,6.33,668800,6.33
2012-05-28,6.24,6.29,6.2,6.2,200700,6.2
2012-05-29,6.22,6.4,6.14,6.33,755700,6.33
2012-05-30,6.58,6.81,6.58,6.78,1849600,6.78
2012-05-31,6.77,7.04,6.77,6.94,1640300,6.94
2012-06-01,7.33,7.62,7.27,7.46,2089200,7.46
2012-06-04,7.48,7.55,7.27,7.27,1209300,7.27
2012-06-05,7.37,7.38,7.27,7.29,863900,7.29
2012-06-06,7.14,7.2,6.95,7.12,2898800,7.12
2012-06-07,6.83,7.35,6.83,7.31,4733600,7.31
2012-06-08,7.54,7.56,7.22,7.27,1645400,7.27
2012-06-11,7.22,7.8,7.22,7.79,1124000,7.79
2012-06-12,7.49,7.57,7.38,7.43,685000,7.43
2012-06-13,7.62,7.65,7.34,7.59,1256600,7.59
2012-06-14,7.55,7.61,7.25,7.28,1695900,7.28
2012-06-15,7.34,7.41,7.26,7.32,481000,7.32
2012-06-18,7.6,7.65,7.34,7.46,792000,7.46
2012-06-19,7.28,7.38,7.25,7.29,599200,7.29
2012-06-20,7.37,7.91,7.36,7.87,1757600,7.87
2012-06-21,7.95,8.45,7.9,8.39,1589900,8.39
2012-06-22,8.33,8.37,7.97,8.01,1024100,8.01
2012-06-25,8.24,8.44,8.16,8.17,883200,8.17
2012-06-26,8.19,8.37,8.12,8.17,620800,8.17
